Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
302,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005227704,PM01,1,,rear hatch seal cut,12/27/18,,2/14/19,14818579,0,,Dec-18,122,12,FALSE,FALSE,FALSE,0,
223,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004602190,PM01,2,,Right front tire unserviceable.,9/12/18,,9/21/18,14818579,0,,Sep-18,112,9,FALSE,FALSE,FALSE,0,
224,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004602457,PM01,1,,FLUID TRANSFER LINE CORRODED,9/12/18,,10/25/18,14818579,0,,Sep-18,111,9,FALSE,FALSE,FALSE,0,
303,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005227703,PM01,2,,rear shackle tie-down broken,12/27/18,,1/15/19,14818579,6.38,,Dec-18,122,12,FALSE,FALSE,FALSE,0,
304,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005227987,PM01,2,,SERVICE FILTERS,12/27/18,,3/12/19,14818579,41.8,,Dec-18,122,12,FALSE,FALSE,FALSE,0,
297,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005218552,PM01,1,,RWS INHIBIT FIRE ZONE NOT DISPLAYED,12/21/18,,1/30/19,14818579,0,,Dec-18,122,12,FALSE,FALSE,TRUE,1,30
228,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004604889,PM01,1,,TRANSMISSION ECM,9/13/18,,10/18/18,14818579,0,,Sep-18,111,9,FALSE,FALSE,FALSE,0,
229,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,2002361253,PM02,A,,AFQ-Annual,9/17/18,,9/17/18,14818579,0,,Sep-18,121,9,FALSE,FALSE,FALSE,0,
230,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,2002361249,PM02,A,,AFQ-Annual,9/17/18,,9/17/18,14818579,0,,Sep-18,112,9,FALSE,FALSE,FALSE,0,
166,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262370,PM01,1,,JBPDS JCA INOP,2/13/18,,4/20/18,14818579,14896,,Feb-18,121,2,FALSE,TRUE,FALSE,1,489
328,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005266165,PM01,1,,RWS Firing inhibit faulty,1/9/19,,1/25/19,14818579,0,,Jan-19,111,1,FALSE,FALSE,TRUE,1,13
233,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004670003,PM01,1,,M2 .50 CAL SOLENOID,9/21/18,,9/25/18,14818579,0,,Sep-18,111,9,FALSE,FALSE,FALSE,0,
234,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004670004,PM01,1,,M2 .50 CAL SOLENOID,9/21/18,,9/25/18,14818579,0,,Sep-18,112,9,FALSE,FALSE,FALSE,0,
235,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004670007,PM01,1,,M2 .50 CAL SOLENOID,9/21/18,,10/29/18,14818579,1427,,Sep-18,121,9,FALSE,FALSE,FALSE,0,
292,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005098570,PM01,1,,JBPDS T6 LINE INOP,11/29/18,,12/4/18,14818579,0,,Nov-18,122,11,FALSE,TRUE,FALSE,1,30
237,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004683446,PM01,1,,"M2 .50 CAL SOLENOIDE, INOP",9/25/18,,10/29/18,14818579,0,,Sep-18,112,9,FALSE,FALSE,FALSE,0,
238,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004683445,PM01,1,,M 2 .50 CAL SOLENOID INOP,9/25/18,,10/29/18,14818579,1427,,Sep-18,111,9,FALSE,FALSE,FALSE,0,
239,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004690721,PM01,1,,"M2 .50 CAL SOLENOIDE, INOP",9/25/18,,10/29/18,14818579,1427,,Sep-18,112,9,FALSE,FALSE,FALSE,0,
240,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004840115,PM01,2,,DRIVERS LIGHT BROKEN,10/18/18,,11/2/18,14818579,532,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
241,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004847466,PM01,1,,CBMS FAULTCODE 3025,10/19/18,,10/30/18,14818579,0,,Oct-18,121,10,TRUE,FALSE,FALSE,1,
289,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005063497,PM01,1,,RWS System INOP,11/21/18,,12/21/18,14818579,67356,12101,Nov-18,122,11,FALSE,FALSE,TRUE,1,468
243,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004840955,PM01,2,,CHEM PROBE BUCKLES NEEDS REPLACED,10/19/18,,11/2/18,14818579,0,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
244,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004840944,PM02,1,,RWS System INOP,10/19/18,,11/21/18,14818579,0,,Oct-18,122,10,FALSE,FALSE,TRUE,1,
245,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004840952,PM01,1,,M88 Chemical Agen Alarm INOP,10/19/18,,2/15/19,14818579,0,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
246,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004840958,PM01,2,,TOWBAR LOCK AND HANDLE BROKEN,10/19/18,,10/31/18,14818579,0.17,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
247,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004840954,PM01,2,,RATION HEATER INOP,10/19/18,,11/2/18,14818579,282,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
